epoch,step,test_loss,time_forward,train_loss,valid_loss
131,527,,,,10999.75
131,527,,1.1403599977493286,10643.837890625,
132,531,,,,10997.73046875
132,531,,1.1362956762313843,10643.146484375,
133,535,,,,10995.25390625
133,535,,1.1276425123214722,10632.8017578125,
134,539,,,,10987.1328125
134,539,,1.1298903226852417,10631.1826171875,
135,543,,,,10978.29296875
135,543,,1.1324408054351807,10625.4345703125,
136,547,,,,10974.14453125
136,547,,1.133646845817566,10623.3916015625,
137,551,,,,10974.404296875
137,551,,1.14235258102417,10618.4130859375,
138,555,,,,10969.7939453125
138,555,,1.1390856504440308,10611.8330078125,
139,559,,,,10967.814453125
139,559,,1.1301988363265991,10609.7861328125,
140,563,,,,10966.8935546875
140,563,,1.1236491203308105,10608.8798828125,
141,567,,,,10966.255859375
141,567,,1.1382564306259155,10603.08203125,
142,571,,,,10952.67578125
142,571,,1.1355805397033691,10600.1591796875,
143,575,,,,10953.4208984375
143,575,,1.1347883939743042,10591.837890625,
144,579,,,,10947.0595703125
144,579,,1.121095061302185,10593.044921875,
145,583,,,,10948.41796875
145,583,,1.1349223852157593,10588.2255859375,
146,587,,,,10941.6162109375
146,587,,1.1357747316360474,10584.6640625,
147,591,,,,10940.8115234375
147,591,,1.1273761987686157,10577.7841796875,
148,595,,,,10936.01953125
148,595,,1.1312787532806396,10577.896484375,
149,599,,,,10941.505859375
149,599,,1.146438717842102,10571.8798828125,
150,603,,,,10921.1435546875
150,603,,1.1219912767410278,10571.544921875,
151,607,,,,10924.33984375
151,607,,1.1384289264678955,10563.9697265625,
152,611,,,,10921.2421875
152,611,,1.1303426027297974,10560.044921875,
153,615,,,,10917.2041015625
153,615,,1.1372119188308716,10556.0166015625,
154,619,,,,10912.390625
154,619,,1.1370484828948975,10556.197265625,
155,623,,,,10908.4091796875
155,623,,1.1324678659439087,10546.1572265625,
156,627,,,,10903.1962890625
156,627,,1.1375007629394531,10545.234375,
157,631,,,,10900.8720703125
157,631,,1.140259027481079,10543.4814453125,
158,635,,,,10901.3037109375
158,635,,1.1405128240585327,10534.10546875,
159,639,,,,10890.5595703125
159,639,,1.136120319366455,10533.84765625,
160,643,,,,10888.59375
160,643,,1.136481761932373,10531.1982421875,
161,647,,,,10893.251953125
161,647,,1.1383569240570068,10524.197265625,
162,651,,,,10885.814453125
162,651,,1.1369223594665527,10524.44921875,
163,655,,,,10879.3994140625
163,655,,1.1376945972442627,10524.8876953125,
164,659,,,,10888.5986328125
164,659,,1.1397064924240112,10520.544921875,
165,663,,,,10880.2529296875
165,663,,1.139229655265808,10518.953125,
166,667,,,,10872.015625
166,667,,1.1362848281860352,10516.0,
167,671,,,,10878.8798828125
167,671,,1.1352940797805786,10508.7138671875,
168,675,,,,10870.4892578125
168,675,,1.1316050291061401,10505.8359375,
169,679,,,,10869.8798828125
169,679,,1.1449130773544312,10505.287109375,
170,683,,,,10867.5537109375
170,683,,1.1398800611495972,10501.2021484375,
171,687,,,,10861.9033203125
171,687,,1.1385135650634766,10499.6552734375,
172,691,,,,10856.8720703125
172,691,,1.1393450498580933,10497.8779296875,
173,695,,,,10864.3896484375
173,695,,1.143608570098877,10491.001953125,
174,699,,,,10857.9384765625
174,699,,1.1481417417526245,10494.873046875,
175,703,,,,10857.2099609375
